------------------------------------------------------------
Client connecting to 10.4.2.2, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[139] local 10.5.4.2 port 43714 connected with 10.4.2.2 port 5001
[ ID] Interval       Transfer     Bandwidth
[139] 208.0-209.0 sec  0.00 Bytes  0.00 bits/sec
[139] 209.0-210.0 sec  0.00 Bytes  0.00 bits/sec
[139] 210.0-211.0 sec   128 KBytes  1.05 Mbits/sec
[139] 211.0-212.0 sec  0.00 Bytes  0.00 bits/sec
[139] 212.0-213.0 sec   128 KBytes  1.05 Mbits/sec
[139] 213.0-214.0 sec  0.00 Bytes  0.00 bits/sec
[139] 214.0-215.0 sec  0.00 Bytes  0.00 bits/sec
[139] 215.0-216.0 sec  0.00 Bytes  0.00 bits/sec
[139] 216.0-217.0 sec   128 KBytes  1.05 Mbits/sec
[139] 217.0-218.0 sec  0.00 Bytes  0.00 bits/sec
[139] 218.0-219.0 sec  0.00 Bytes  0.00 bits/sec
[139] 219.0-220.0 sec  0.00 Bytes  0.00 bits/sec
[139] 220.0-221.0 sec  0.00 Bytes  0.00 bits/sec
[139] 221.0-222.0 sec  0.00 Bytes  0.00 bits/sec
[139] 222.0-223.0 sec  0.00 Bytes  0.00 bits/sec
[139] 223.0-224.0 sec   128 KBytes  1.05 Mbits/sec
[139] 224.0-225.0 sec  0.00 Bytes  0.00 bits/sec
[139] 225.0-226.0 sec   128 KBytes  1.05 Mbits/sec
[139] 226.0-227.0 sec  0.00 Bytes  0.00 bits/sec
[139] 227.0-228.0 sec  0.00 Bytes  0.00 bits/sec
[139] 228.0-229.0 sec  0.00 Bytes  0.00 bits/sec
[139] 229.0-230.0 sec  0.00 Bytes  0.00 bits/sec
[139] 230.0-231.0 sec   128 KBytes  1.05 Mbits/sec
[139] 231.0-232.0 sec  0.00 Bytes  0.00 bits/sec
[139] 232.0-233.0 sec  0.00 Bytes  0.00 bits/sec
[139] 233.0-234.0 sec  0.00 Bytes  0.00 bits/sec
[139] 234.0-235.0 sec   128 KBytes  1.05 Mbits/sec
[139] 235.0-236.0 sec  0.00 Bytes  0.00 bits/sec
[139] 236.0-237.0 sec  0.00 Bytes  0.00 bits/sec
[139] 237.0-238.0 sec  0.00 Bytes  0.00 bits/sec
[139] 238.0-239.0 sec  0.00 Bytes  0.00 bits/sec
[139] 239.0-240.0 sec   128 KBytes  1.05 Mbits/sec
[139] 240.0-241.0 sec  0.00 Bytes  0.00 bits/sec
[139] 241.0-242.0 sec  0.00 Bytes  0.00 bits/sec
[139] 242.0-243.0 sec   128 KBytes  1.05 Mbits/sec
[139] 243.0-244.0 sec  0.00 Bytes  0.00 bits/sec
[139] 244.0-245.0 sec  0.00 Bytes  0.00 bits/sec
[139] 245.0-246.0 sec  0.00 Bytes  0.00 bits/sec
[139] 246.0-247.0 sec  0.00 Bytes  0.00 bits/sec
[139] 247.0-248.0 sec  0.00 Bytes  0.00 bits/sec
[139] 248.0-249.0 sec   128 KBytes  1.05 Mbits/sec
[139] 249.0-250.0 sec  0.00 Bytes  0.00 bits/sec
[139] 250.0-251.0 sec  0.00 Bytes  0.00 bits/sec
[139] 251.0-252.0 sec  0.00 Bytes  0.00 bits/sec
[139] 252.0-253.0 sec  0.00 Bytes  0.00 bits/sec
[139] 253.0-254.0 sec   128 KBytes  1.05 Mbits/sec
[139] 254.0-255.0 sec  0.00 Bytes  0.00 bits/sec
[139] 255.0-256.0 sec   128 KBytes  1.05 Mbits/sec
[139] 256.0-257.0 sec  0.00 Bytes  0.00 bits/sec
[139] 257.0-258.0 sec  0.00 Bytes  0.00 bits/sec
[139] 258.0-259.0 sec  0.00 Bytes  0.00 bits/sec
[139] 259.0-260.0 sec  0.00 Bytes  0.00 bits/sec
[139] 260.0-261.0 sec   128 KBytes  1.05 Mbits/sec
[139] 261.0-262.0 sec  0.00 Bytes  0.00 bits/sec
[139] 262.0-263.0 sec  0.00 Bytes  0.00 bits/sec
[139] 263.0-264.0 sec  0.00 Bytes  0.00 bits/sec
[139] 264.0-265.0 sec  0.00 Bytes  0.00 bits/sec
[139] 265.0-266.0 sec  0.00 Bytes  0.00 bits/sec
[139] 266.0-267.0 sec   128 KBytes  1.05 Mbits/sec
[139] 267.0-268.0 sec  0.00 Bytes  0.00 bits/sec
[139] 268.0-269.0 sec   128 KBytes  1.05 Mbits/sec
[139] 269.0-270.0 sec  0.00 Bytes  0.00 bits/sec
[139] 270.0-271.0 sec  0.00 Bytes  0.00 bits/sec
[139] 271.0-272.0 sec  0.00 Bytes  0.00 bits/sec
[139] 272.0-273.0 sec  0.00 Bytes  0.00 bits/sec
[139] 273.0-274.0 sec  0.00 Bytes  0.00 bits/sec
[139] 274.0-275.0 sec   128 KBytes  1.05 Mbits/sec
[139] 275.0-276.0 sec  0.00 Bytes  0.00 bits/sec
[139] 276.0-277.0 sec  0.00 Bytes  0.00 bits/sec
[139] 277.0-278.0 sec  0.00 Bytes  0.00 bits/sec
[139] 278.0-279.0 sec  0.00 Bytes  0.00 bits/sec
[139] 279.0-280.0 sec   128 KBytes  1.05 Mbits/sec
[139] 280.0-281.0 sec  0.00 Bytes  0.00 bits/sec
[139] 281.0-282.0 sec  0.00 Bytes  0.00 bits/sec
[139] 282.0-283.0 sec  0.00 Bytes  0.00 bits/sec
[139] 283.0-284.0 sec  0.00 Bytes  0.00 bits/sec
[139] 284.0-285.0 sec   128 KBytes  1.05 Mbits/sec
[139] 285.0-286.0 sec  0.00 Bytes  0.00 bits/sec
[139] 286.0-287.0 sec   128 KBytes  1.05 Mbits/sec
[139] 287.0-288.0 sec  0.00 Bytes  0.00 bits/sec
[139] 288.0-289.0 sec  0.00 Bytes  0.00 bits/sec
[139] 289.0-290.0 sec  0.00 Bytes  0.00 bits/sec
[139] 290.0-291.0 sec  0.00 Bytes  0.00 bits/sec
[139] 291.0-292.0 sec  0.00 Bytes  0.00 bits/sec
[139] 292.0-293.0 sec   128 KBytes  1.05 Mbits/sec
[139] 293.0-294.0 sec  0.00 Bytes  0.00 bits/sec
[139] 294.0-295.0 sec  0.00 Bytes  0.00 bits/sec
[139] 295.0-296.0 sec  0.00 Bytes  0.00 bits/sec
[139] 296.0-297.0 sec  0.00 Bytes  0.00 bits/sec
[139] 297.0-298.0 sec  0.00 Bytes  0.00 bits/sec
[139] 298.0-299.0 sec  0.00 Bytes  0.00 bits/sec
[139] 299.0-300.0 sec  0.00 Bytes  0.00 bits/sec
[139] 300.0-301.0 sec   128 KBytes  1.05 Mbits/sec
[139] 301.0-302.0 sec  0.00 Bytes  0.00 bits/sec
[139] 302.0-303.0 sec  0.00 Bytes  0.00 bits/sec
[139] 303.0-304.0 sec   128 KBytes  1.05 Mbits/sec
[139] 304.0-305.0 sec  0.00 Bytes  0.00 bits/sec
[139] 305.0-306.0 sec  0.00 Bytes  0.00 bits/sec
[139] 306.0-307.0 sec  0.00 Bytes  0.00 bits/sec
[139] 307.0-308.0 sec  0.00 Bytes  0.00 bits/sec
[139] 308.0-309.0 sec  0.00 Bytes  0.00 bits/sec
[139] 309.0-310.0 sec   128 KBytes  1.05 Mbits/sec
[139] 310.0-311.0 sec  0.00 Bytes  0.00 bits/sec
[139] 311.0-312.0 sec  0.00 Bytes  0.00 bits/sec
[139] 312.0-313.0 sec  0.00 Bytes  0.00 bits/sec
[139] 313.0-314.0 sec   128 KBytes  1.05 Mbits/sec
[139] 314.0-315.0 sec  0.00 Bytes  0.00 bits/sec
[139] 315.0-316.0 sec  0.00 Bytes  0.00 bits/sec
[139] 316.0-317.0 sec  0.00 Bytes  0.00 bits/sec
[139] 317.0-318.0 sec  0.00 Bytes  0.00 bits/sec
[139] 318.0-319.0 sec  0.00 Bytes  0.00 bits/sec
[139] 319.0-320.0 sec   128 KBytes  1.05 Mbits/sec
[139] 320.0-321.0 sec  0.00 Bytes  0.00 bits/sec
[139] 321.0-322.0 sec  0.00 Bytes  0.00 bits/sec
[139] 322.0-323.0 sec  0.00 Bytes  0.00 bits/sec
[139] 323.0-324.0 sec  0.00 Bytes  0.00 bits/sec
[139] 324.0-325.0 sec  0.00 Bytes  0.00 bits/sec
[139] 325.0-326.0 sec   128 KBytes  1.05 Mbits/sec
[139] 326.0-327.0 sec  0.00 Bytes  0.00 bits/sec
[139] 327.0-328.0 sec  0.00 Bytes  0.00 bits/sec
[139] 328.0-329.0 sec  0.00 Bytes  0.00 bits/sec
[139] 329.0-330.0 sec  0.00 Bytes  0.00 bits/sec
[139] 330.0-331.0 sec  0.00 Bytes  0.00 bits/sec
[139] 331.0-332.0 sec   128 KBytes  1.05 Mbits/sec
[139] 332.0-333.0 sec  0.00 Bytes  0.00 bits/sec
[139] 333.0-334.0 sec  0.00 Bytes  0.00 bits/sec
[139] 334.0-335.0 sec  0.00 Bytes  0.00 bits/sec
[139] 335.0-336.0 sec  0.00 Bytes  0.00 bits/sec
[139] 336.0-337.0 sec   128 KBytes  1.05 Mbits/sec
[139] 337.0-338.0 sec  0.00 Bytes  0.00 bits/sec
[139] 338.0-339.0 sec  0.00 Bytes  0.00 bits/sec
[139] 339.0-340.0 sec  0.00 Bytes  0.00 bits/sec
[139] 340.0-341.0 sec  0.00 Bytes  0.00 bits/sec
[139] 341.0-342.0 sec   128 KBytes  1.05 Mbits/sec
[139] 342.0-343.0 sec  0.00 Bytes  0.00 bits/sec
[139] 343.0-344.0 sec  0.00 Bytes  0.00 bits/sec
[139] 344.0-345.0 sec   128 KBytes  1.05 Mbits/sec
